                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 2.4759,                 1.0585,                0.86626,                0.67685,                0.43662,                0.57746,                0.22848,                 2.0316,                 1.0103,                 0.6849,              0.0013466,              0.0013466,              0.0013466
                     35,                 2.4666,                 1.0674,                0.86592,                0.65069,                 0.5493,                0.61284,                0.24132,                 1.9204,                0.75767,                0.66573,              0.0013268,              0.0013268,              0.0013268
                     36,                 2.4431,                 1.1065,                0.85285,                0.73221,                0.57767,                0.60559,                0.22026,                 1.9118,                0.81921,                0.70144,               0.001307,               0.001307,               0.001307
                     37,                  2.334,                 1.0799,                0.86351,                0.81137,                0.36357,                0.58309,                 0.1841,                 2.2426,                0.94486,                0.61337,              0.0012872,              0.0012872,              0.0012872
                     38,                 2.4438,                 1.1026,                0.88166,                0.65487,                0.52113,                0.56858,                0.19681,                 2.1309,                0.77191,                0.63663,              0.0012674,              0.0012674,              0.0012674
                     39,                 2.4451,                  1.154,                0.86632,                0.77853,                 0.4507,                 0.5331,                0.19124,                 2.0556,                 1.0937,                0.67818,              0.0012476,              0.0012476,              0.0012476
                     40,                 2.3844,                 1.0525,                0.86373,                0.79225,                0.48346,                0.64721,                0.27259,                 2.0165,                0.82411,                 0.6577,              0.0012278,              0.0012278,              0.0012278
                     41,                 2.4118,                 1.1153,                0.87268,                0.54717,                0.56164,                0.55787,                0.18762,                 2.0546,                0.84051,                0.66128,               0.001208,               0.001208,               0.001208
                     42,                 2.3903,                 1.0579,                0.86232,                0.76487,                0.52113,                0.56078,                0.20408,                  1.885,                0.79903,                0.71301,              0.0011882,              0.0011882,              0.0011882
                     43,                 2.3048,                0.98027,                0.86717,                0.64497,                0.59155,                0.62487,                0.23852,                 1.9419,                0.87029,                0.67521,              0.0011684,              0.0011684,              0.0011684
                     44,                 2.2935,                 1.0539,                 0.8382,                0.66701,                0.47963,                0.55727,                0.21944,                 1.7707,                0.93263,                0.72219,              0.0011486,              0.0011486,              0.0011486
                     45,                 2.3921,                 1.0903,                 0.8688,                0.67312,                0.53521,                0.62755,                0.22137,                 1.9223,                 0.7861,                 0.7074,              0.0011288,              0.0011288,              0.0011288
                     46,                 2.3488,                 1.0111,                0.84554,                0.70554,                0.57374,                0.68249,                 0.2302,                 1.8851,                0.71736,                0.69741,               0.001109,               0.001109,               0.001109
                     47,                 2.4846,                 1.0777,                0.86886,                0.71081,                0.52113,                0.66875,                 0.2361,                  2.053,                0.76482,                0.64722,              0.0010892,              0.0010892,              0.0010892
                     48,                 2.2488,                 1.0189,                0.84868,                0.64406,                0.61972,                0.62171,                0.24916,                 1.8196,                0.84401,                0.68748,              0.0010694,              0.0010694,              0.0010694
                     49,                 2.3218,                 1.0815,                0.85515,                0.63965,                0.62509,                0.55664,                0.21827,                 2.0313,                0.80933,                 0.6383,              0.0010496,              0.0010496,              0.0010496
                     50,                 2.2942,                0.99331,                0.85588,                0.74169,                0.49296,                0.55043,                0.22646,                 1.8199,                0.76817,                0.70771,              0.0010298,              0.0010298,              0.0010298
                     51,                 2.2472,                0.95714,                0.84865,                0.67661,                 0.5493,                0.63515,                0.23396,                  2.062,                0.74406,                0.64463,                0.00101,                0.00101,                0.00101
                     52,                 2.2172,                 1.0164,                0.83825,                0.66386,                0.64789,                0.62122,                0.22761,                 2.0689,                0.79796,                0.62711,              0.0009902,              0.0009902,              0.0009902
                     53,                  2.297,                 1.0294,                0.86577,                 0.6072,                0.50082,                0.54114,                0.20344,                 1.9562,                 1.0537,                0.66098,              0.0009704,              0.0009704,              0.0009704
                     54,                 2.2466,                 1.0416,                0.84423,                0.66393,                0.67606,                0.64332,                0.23249,                  1.736,                0.81028,                  0.709,              0.0009506,              0.0009506,              0.0009506
                     55,                 2.2286,                0.97993,                0.84874,                0.74397,                0.66197,                0.65469,                0.22808,                 2.0529,                0.80628,                0.64243,              0.0009308,              0.0009308,              0.0009308
                     56,                 2.3049,                 1.0128,                0.84337,                0.70778,                0.59155,                 0.6639,                0.26427,                 1.9836,                0.69402,                0.65933,               0.000911,               0.000911,               0.000911
                     57,                 2.2357,                0.93893,                0.83047,                0.75166,                0.55426,                 0.6803,                0.25217,                 1.9623,                0.73939,                0.63519,              0.0008912,              0.0008912,              0.0008912
                     58,                 2.2228,                0.92352,                0.83844,                0.78313,                0.61972,                0.66701,                0.27078,                 1.8052,                0.74067,                0.67485,              0.0008714,              0.0008714,              0.0008714
                     59,                 2.3213,                0.97267,                0.84539,                0.69456,                0.64789,                0.65241,                0.24596,                 2.0349,                0.80465,                0.63816,              0.0008516,              0.0008516,              0.0008516
                     60,                 2.3142,                 1.0149,                0.84483,                0.65668,                0.56338,                0.62133,                0.27142,                  1.928,                0.68425,                0.63856,              0.0008318,              0.0008318,              0.0008318
                     61,                 2.1959,                0.98876,                0.84742,                   0.74,                0.64789,                0.72028,                0.26234,                 1.9022,                0.71413,                0.66276,               0.000812,               0.000812,               0.000812
                     62,                 2.2108,                0.91891,                0.84427,                0.69006,                0.61972,                0.70001,                0.25703,                  1.959,                 0.7125,                 0.6608,              0.0007922,              0.0007922,              0.0007922
                     63,                 2.2491,                0.96575,                0.84154,                0.73903,                0.60563,                0.66535,                0.27131,                 1.8075,                  0.787,                0.67661,              0.0007724,              0.0007724,              0.0007724
                     64,                 2.0926,                0.95273,                0.84597,                0.78889,                 0.6316,                0.70512,                0.28815,                 1.9107,                0.73376,                0.62918,              0.0007526,              0.0007526,              0.0007526
                     65,                 2.2123,                0.95131,                 0.8432,                0.76749,                0.60442,                  0.734,                0.30889,                 1.8673,                0.68963,                0.64994,              0.0007328,              0.0007328,              0.0007328
                     66,                 2.1604,                0.91196,                0.84322,                0.73298,                0.50268,                0.60638,                0.25386,                 1.9627,                0.74427,                0.64444,               0.000713,               0.000713,               0.000713
                     67,                 2.2131,                0.96234,                0.84518,                0.85611,                0.35211,                0.49006,                0.21373,                 1.9289,                 1.1522,                0.63418,              0.0006932,              0.0006932,              0.0006932
                     68,                 2.0951,                0.88064,                 0.8418,                0.75747,                0.60563,                0.73118,                0.31324,                 1.8413,                0.68403,                0.66012,              0.0006734,              0.0006734,              0.0006734
                     69,                  2.157,                0.84708,                0.84408,                0.80251,                0.51517,                0.71293,                0.29996,                 1.8877,                0.73396,                0.63311,              0.0006536,              0.0006536,              0.0006536
