                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 2.6334,                 1.2026,                0.87994,                0.66484,                0.49296,                0.54649,                0.16747,                 2.1875,                0.77841,                0.64447,              0.0013466,              0.0013466,              0.0013466
                     35,                 2.4939,                  1.127,                0.87072,                 0.7022,                0.46479,                0.50198,                0.18664,                 2.1675,                0.72971,                0.64154,              0.0013268,              0.0013268,              0.0013268
                     36,                 2.6273,                  1.184,                0.86669,                0.69313,                 0.5493,                0.59404,                0.20039,                 2.1186,                0.76649,                0.62443,               0.001307,               0.001307,               0.001307
                     37,                 2.4081,                 1.1548,                0.87067,                0.63667,                0.60563,                0.59743,                0.21287,                  2.026,                 0.8378,                0.67017,              0.0012872,              0.0012872,              0.0012872
                     38,                 2.4789,                 1.1426,                0.87308,                0.49568,                0.53521,                0.44313,                 0.1627,                 2.1803,                 1.0884,                0.63594,              0.0012674,              0.0012674,              0.0012674
                     39,                 2.4626,                 1.1388,                0.87063,                0.58899,                0.49296,                0.50331,                0.16778,                 2.2448,                0.90171,                 0.6161,              0.0012476,              0.0012476,              0.0012476
                     40,                 2.4525,                 1.1084,                0.86736,                0.66867,                0.48328,                0.58931,                 0.2344,                  2.017,                0.79088,                 0.6876,              0.0012278,              0.0012278,              0.0012278
                     41,                  2.496,                 1.1375,                0.88172,                0.25843,                0.64789,                0.24536,                0.08629,                 2.1217,                  2.874,                0.68236,               0.001208,               0.001208,               0.001208
                     42,                 2.4246,                 1.1162,                0.86884,                0.70141,                0.57746,                0.58268,                0.22069,                 2.0686,                0.72468,                0.67073,              0.0011882,              0.0011882,              0.0011882
                     43,                 2.3575,                 1.0314,                 0.8712,                0.65878,                0.59828,                0.56005,                0.19736,                 2.1456,                0.90057,                0.65823,              0.0011684,              0.0011684,              0.0011684
                     44,                 2.3746,                 1.1047,                0.84305,                0.70253,                 0.5655,                0.67934,                0.22628,                 2.0762,                0.77666,                0.65694,              0.0011486,              0.0011486,              0.0011486
                     45,                 2.4451,                 1.1543,                0.87501,                0.77519,                0.42254,                0.51742,                0.17394,                 2.0638,                0.90363,                0.63255,              0.0011288,              0.0011288,              0.0011288
                     46,                 2.3363,                 1.0605,                0.85047,                0.74067,                0.52113,                0.63365,                0.22979,                 1.9875,                0.75441,                  0.694,               0.001109,               0.001109,               0.001109
                     47,                 2.4001,                 1.0726,                0.86705,                0.88497,                0.43352,                0.59506,                0.21409,                 2.0697,                0.74587,                0.68242,              0.0010892,              0.0010892,              0.0010892
                     48,                 2.3364,                 1.0328,                0.85094,                0.77219,                 0.5493,                0.63559,                0.21858,                 2.0451,                0.74464,                0.65807,              0.0010694,              0.0010694,              0.0010694
                     49,                 2.4018,                 1.1346,                0.85742,                0.65919,                0.59155,                0.59687,                0.19811,                 2.1228,                0.77276,                0.62912,              0.0010496,              0.0010496,              0.0010496
                     50,                 2.3159,                 1.0071,                0.85764,                0.61148,                0.61972,                0.60599,                0.20917,                 2.0971,                0.80621,                0.63689,              0.0010298,              0.0010298,              0.0010298
                     51,                 2.3291,                 1.0204,                 0.8581,                0.73052,                 0.5493,                0.62558,                0.21956,                 2.0955,                0.84177,                0.63313,                0.00101,                0.00101,                0.00101
                     52,                 2.3194,                 1.0344,                0.85004,                 0.5906,                0.42254,                0.40393,                0.11164,                 2.4189,                 1.1332,                0.63031,              0.0009902,              0.0009902,              0.0009902
                     53,                  2.386,                 1.0687,                0.87009,                  0.667,                0.56338,                0.60236,                0.19633,                 2.1591,                0.72944,                0.64129,              0.0009704,              0.0009704,              0.0009704
                     54,                 2.3279,                  1.069,                0.84845,                0.64883,                0.53521,                0.59013,                0.20394,                 2.1224,                 0.7896,                0.63542,              0.0009506,              0.0009506,              0.0009506
                     55,                 2.2844,                 1.0567,                 0.8507,                0.60719,                0.60962,                0.63605,                0.24781,                 1.9481,                0.73367,                0.65856,              0.0009308,              0.0009308,              0.0009308
                     56,                 2.3798,                 1.0229,                0.84989,                0.58935,                 0.5493,                0.58932,                0.21657,                 2.1066,                0.72783,                0.66772,               0.000911,               0.000911,               0.000911
                     57,                 2.3087,                0.97242,                0.83919,                0.83876,                0.51296,                0.69116,                0.26855,                 1.9801,                0.69098,                0.66188,              0.0008912,              0.0008912,              0.0008912
                     58,                  2.288,                 0.9667,                0.84467,                0.73101,                0.46479,                0.57876,                0.24412,                 1.8631,                0.76843,                0.67321,              0.0008714,              0.0008714,              0.0008714
                     59,                 2.3397,                 1.0157,                0.84838,                0.78993,                0.63558,                0.65365,                0.24057,                 1.9394,                0.80645,                0.65734,              0.0008516,              0.0008516,              0.0008516
                     60,                 2.3389,                 1.0664,                0.84613,                0.79473,                0.49296,                0.60886,                0.25569,                 1.9046,                0.66935,                0.68303,              0.0008318,              0.0008318,              0.0008318
                     61,                 2.3353,                 1.0358,                0.85704,                0.69877,                 0.5493,                0.62955,                 0.2621,                 1.9444,                0.68399,                0.67298,               0.000812,               0.000812,               0.000812
                     62,                 2.3143,                0.98123,                0.84962,                 0.8276,                0.52113,                0.67019,                0.23476,                   1.95,                0.76974,                0.66842,              0.0007922,              0.0007922,              0.0007922
                     63,                 2.3144,                 1.0254,                0.84813,                0.81125,                0.52113,                0.66585,                0.24808,                 1.7997,                0.71878,                0.70402,              0.0007724,              0.0007724,              0.0007724
                     64,                 2.2122,                 1.0052,                0.85239,                0.76269,                0.63371,                0.68941,                0.23445,                 2.0496,                 0.7625,                0.63825,              0.0007526,              0.0007526,              0.0007526
                     65,                 2.3096,                 1.0274,                0.84752,                0.78486,                0.56523,                0.66194,                0.24085,                 2.0918,                0.74286,                0.62136,              0.0007328,              0.0007328,              0.0007328
                     66,                 2.2847,                0.97253,                0.84772,                0.77003,                0.52113,                0.70722,                0.30129,                 1.9379,                0.74255,                0.63909,               0.000713,               0.000713,               0.000713
                     67,                 2.3398,                 1.0257,                0.85097,                0.89151,                0.52113,                0.69497,                0.29454,                 1.8844,                0.66463,                0.66795,              0.0006932,              0.0006932,              0.0006932
                     68,                 2.1802,                0.92217,                0.84472,                0.79179,                 0.5892,                0.75427,                0.29461,                 1.8214,                0.64638,                0.68161,              0.0006734,              0.0006734,              0.0006734
                     69,                 2.1947,                0.90731,                0.84695,                0.85646,                0.50704,                0.63232,                0.26362,                 1.9178,                0.68645,                0.65355,              0.0006536,              0.0006536,              0.0006536
                     70,                 2.2213,                0.95481,                0.83933,                0.69575,                0.61972,                0.62382,                0.23579,                 1.9812,                0.68819,                0.65683,              0.0006338,              0.0006338,              0.0006338
                     71,                 2.2557,                 1.0013,                0.83432,                 0.8693,                0.61972,                0.74848,                0.27587,                 1.8914,                0.69064,                0.67774,               0.000614,               0.000614,               0.000614
                     72,                 2.1515,                0.95827,                0.84397,                0.72564,                0.61972,                0.71345,                0.27666,                 1.8719,                0.74983,                0.66917,              0.0005942,              0.0005942,              0.0005942
                     73,                 2.2349,                0.96498,                0.86121,                0.76228,                0.53521,                0.67989,                0.28429,                 1.8889,                0.72021,                 0.6631,              0.0005744,              0.0005744,              0.0005744
                     74,                 2.2558,                0.96051,                0.84187,                0.73311,                0.58037,                0.66677,                0.26221,                 1.9128,                0.72189,                0.67354,              0.0005546,              0.0005546,              0.0005546
                     75,                 2.3079,                0.97603,                0.84916,                0.92025,                0.52113,                0.70463,                0.27394,                 1.9372,                 0.7159,                0.67877,              0.0005348,              0.0005348,              0.0005348
                     76,                  2.134,                0.91768,                0.83325,                 0.7979,                0.60563,                0.72519,                0.27878,                 1.9698,                0.69463,                0.66401,               0.000515,               0.000515,               0.000515
                     77,                 2.2217,                0.96916,                0.83824,                0.80568,                 0.6338,                0.75541,                0.28854,                 1.9101,                0.70568,                0.66257,              0.0004952,              0.0004952,              0.0004952
                     78,                 2.2216,                0.91654,                 0.8375,                0.76312,                0.54455,                0.71681,                0.29689,                 1.9359,                0.70165,                0.66465,              0.0004754,              0.0004754,              0.0004754
                     79,                 2.1508,                0.94218,                0.83514,                 0.7768,                 0.6338,                 0.6849,                0.24507,                 1.9934,                0.76956,                0.65697,              0.0004556,              0.0004556,              0.0004556
                     80,                 2.0996,                0.95589,                 0.8285,                0.65955,                0.59155,                 0.6606,                 0.2475,                 1.9697,                0.77478,                0.63701,              0.0004358,              0.0004358,              0.0004358
                     81,                 2.1136,                0.95246,                0.83659,                0.76157,                0.66197,                0.73945,                0.31095,                 1.8065,                0.67799,                0.67398,               0.000416,               0.000416,               0.000416
                     82,                 2.1878,                  0.934,                0.84514,                0.84068,                0.52024,                0.67329,                0.28019,                 1.8987,                 0.7049,                0.66902,              0.0003962,              0.0003962,              0.0003962
                     83,                 2.1801,                0.88589,                0.84991,                0.77932,                0.47887,                0.60091,                0.23888,                  1.976,                0.70663,                0.63249,              0.0003764,              0.0003764,              0.0003764
                     84,                 2.1604,                0.85133,                0.84867,                0.92609,                0.52954,                0.70683,                0.29226,                  1.881,                 0.6917,                0.67028,              0.0003566,              0.0003566,              0.0003566
                     85,                 2.1182,                0.86451,                0.86409,                0.76327,                0.56338,                0.68599,                0.25913,                 1.9522,                0.71704,                0.65767,              0.0003368,              0.0003368,              0.0003368
                     86,                 2.1486,                0.90843,                0.84598,                0.88244,                0.50704,                0.68311,                0.29648,                 1.9075,                0.68235,                0.65628,               0.000317,               0.000317,               0.000317
                     87,                 2.0681,                0.90525,                0.83296,                0.79678,                0.66197,                0.72666,                0.28205,                  1.966,                0.70436,                0.63157,              0.0002972,              0.0002972,              0.0002972
                     88,                 2.1305,                0.91843,                0.84427,                 0.9398,                0.53521,                0.73055,                0.30914,                 1.8864,                0.67799,                0.64959,              0.0002774,              0.0002774,              0.0002774
                     89,                 2.2096,                 0.9477,                0.84711,                0.78782,                0.56338,                0.71742,                0.31694,                 1.8401,                0.68218,                0.66235,              0.0002576,              0.0002576,              0.0002576
                     90,                 2.0637,                0.87704,                0.85951,                0.84346,                0.57746,                0.71712,                0.30215,                 1.8856,                0.66237,                0.65407,              0.0002378,              0.0002378,              0.0002378
                     91,                 1.9931,                0.87643,                 0.8354,                0.78044,                 0.5493,                0.69979,                0.27844,                  1.978,                0.68926,                0.61956,               0.000218,               0.000218,               0.000218
                     92,                 2.0697,                0.84533,                0.84462,                0.92613,                0.52985,                0.71128,                0.31116,                 1.8751,                0.67148,                0.65554,              0.0001982,              0.0001982,              0.0001982
                     93,                 2.0097,                0.85238,                0.82528,                 0.7265,                0.61972,                0.70368,                0.29061,                 1.8838,                0.70249,                0.64961,              0.0001784,              0.0001784,              0.0001784
                     94,                 2.0369,                  0.849,                0.83562,                0.78462,                 0.5493,                0.69834,                0.29499,                 1.8335,                0.68889,                0.65969,              0.0001586,              0.0001586,              0.0001586
                     95,                 2.0311,                0.83643,                0.85102,                0.84199,                0.60048,                  0.709,                0.29613,                 1.8216,                 0.6732,                0.66642,              0.0001388,              0.0001388,              0.0001388
                     96,                 2.0093,                 0.8272,                0.83741,                0.84315,                0.60569,                0.72842,                0.31029,                 1.8589,                0.68172,                0.64953,               0.000119,               0.000119,               0.000119
                     97,                 2.0431,                0.82893,                0.83894,                0.82854,                0.61261,                0.73398,                0.31804,                 1.8257,                0.67405,                0.65018,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                 2.0739,                0.83395,                0.82791,                0.84768,                0.61972,                0.76494,                0.31649,                 1.8086,                0.66199,                 0.6576,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                 2.0252,                0.84406,                0.84384,                0.81745,                0.61972,                0.75997,                0.31568,                 1.8129,                0.66978,                0.65905,               5.96e-05,               5.96e-05,               5.96e-05
