Model,Accuracy,F1_score
resnet18,0.5,0.3333333333333333
wide_resnet50_2,0.5,0.3333333333333333
EfficientNet_b4,0.4411764705882353,0.17848970251716245
visformer_small,0.5,0.3333333333333333
vit_small_patch8_224_dino,0.5,0.3333333333333333
